"page","exercise","type","probability"
"-","Syllabus based on Common European Framework Student's Book 2 Virginia Evans Jenny Dooley Nadezhda Bykova Marina Pospe..."," ч√ъютюх","0,51"
"3","Colour Illustrations: Pan, Stone."," ч√ъютюх","0,51"
"3","╨єъютюфшЄхы№ яЁюхъЄр ▐. └. ╤ьшЁэют ┬√яєёър■∙шщ ЁхфръЄюЁ ╠. └. ╤хьшўхт ╨хфръЄюЁ ┼. ╨. ╠шїры№ўєъ ╩юЁЁхъЄюЁ√ ═. ─. ╓єїрщ..."," ч√ъютюх","0,58"
"4","Let's Go! p. 4 My Letters! p. 6 Starter Module Me and My Family! p. 18"," ч√ъютюх","0,51"
"4","Showtime! p. 116"," ч√ъютюх","0,51"
"4","School Play! p. 120"," ч√ъютюх","0,51"
"4","Activities on reader p. 131 Spotlight on Russia p. 136"," ч√ъютюх","0,51"
"5","Let's Go! 1 ╤яющ яхёхэъє. Hello, hello, everyone, I'm Nanny Shine, hello!"," ч√ъютюх","0,83"
"5","Come in and get ready,"," ч√ъютюх","0,51"
"5","Come on, everyone - let's go! My name is Nanny Shine."," ч√ъютюх","0,51"
"5","Tell me. What's your name? My name is Nanny Shine. Nanny Shine's my name! 2 ╧юуютюЁш ёю ётюшь юфэюъырёёэшъюь, шёяюы№ч...","ъюььєэшърЄштэюх","0,77"
"18","I can sing the alphabet, Can you do the same?"," ч√ъютюх","0,51"
"18","I can sing the alphabet, I've got it in my head! N O P Q R S T U V W X Y Z!"," ч√ъютюх","0,51"
"25","Colours red yellow green white blue 2 ╧хЁхЁшёєщ ърЁЄшэъш т ЄхЄЁрф№ ш ЁрёъЁрё№ шї. 1 a yellow snake"," ч√ъютюх","0,67"
"28","1 Lulu: Grandma, Grandpa, look at our tree house! Grandpa: Oh, a red chair! Grandma: That s nice!"," ч√ъютюх","0,51"
"28","2 Larry: Look, Grandma! A yellow table! Grandma: Oh, yes! It s lovely! 3 Grandpa: What s this, Larry?"," ч√ъютюх","0,51"
"28","Larry: It s a radio, Grandpa! Listen! ╧ЁюўшЄрщ фшрыюу х∙╕ Ёрч ш т√схЁш яЁртшы№э√щ юЄтхЄ. a Oh, a red chair! b Oh, a b...","ъюььєэшърЄштэюх","0,6"
"30","There are lots of colours for you to see! Red and yellow, Green and blue!"," ч√ъютюх","0,51"
"30","Lots of colours For me and you! In my tree house, In my tree, There are lots of things for you to see! A table, a cha..."," ч√ъютюх","0,51"
"33","Larry: Look! Mummy s in the kitchen. 2 Larry: Where s Daddy? Lulu: He s in the bedroom. Larry: But where s Chuckles? ..."," ч√ъютюх","0,51"
"34","Looking at you and me! Chuckles is in the kitchen, Chuckles is in the house, Chuckles is in the bathroom,"," ч√ъютюх","0,51"
"34","Looking at a mouse!"," ч√ъютюх","0,51"
"36","Lulu: Yes, he is! Look! He s in the bath! ╧ЁюўшЄрщ фшрыюу х∙╕ Ёрч ш чръюэўш яЁхфыюцхэшх. Chuckles is in the ... ."," ч√ъютюх","0,56"
"40","Make your own BOX TELEPHONE Materials:"," ч√ъютюх","0,51"
"40","2 matchboxes 2 paper clips a toothpick a long piece of string 1 2 3 4"," ч√ъютюх","0,51"
"41","The TOWN MOUSE & The COUNTRY MOUSE"," ч√ъютюх","0,51"
"41","Country Mouse: Hello, Town Mouse. Welcome to my house! It's very small, but it's very nice. A lovely house For two sm..."," ч√ъютюх","0,51"
"51","Larry: Look, Lulu! Sandwiches! Lulu: Thank you, Larry! 3 Lulu: Oh, bananas! Thank you, Chuckles! I like bananas too! ...","ъюььєэшърЄштэюх","0,61"
"56","To make a wish! To: Jane, Happy Birthday! From: Kevin"," ч√ъютюх","0,51"
"58","Make your own PARTY HAT Materials: a paper plate"," ч√ъютюх","0,51"
"4","First Steps to Reading p. 140 My Letters - Phonetics p. 145 Word List p. 146","filtered",
