exercise_id,page,section,raw_text
1,5,Module 5,"1 Спой песенку.
Hello, hello, everyone,
I'm Nanny Shine, hello!
Come in and get ready,
Come on, everyone - let's go!

My name is Nanny Shine.
Tell me. What's your name?
My name is Nanny Shine.
Nanny Shine's my name!"
2,5,Module 5,"2 Поговори со своим одноклассником, используя образец.
Hello, I m Nanny Shine. What s your name?
Hello, I m Anna"
3,6,Module 5,"3 Hello или Goodbye? Посмотри на картинки и скажи.

1

2"
4,6,Module 5,"4 Поприветствуй одноклассников, как показано в образце.

Hello, Anna. How are you?
Fine, thanks!"
5,7,Module 5,"1 Слушай и повторяй за диктором.
a ant
b bed
c cat
d dog
e egg
f flag
g glass
h horse"
6,7,Module 5,2 Спой песенку.
7,8,Module 5,3 Посмотри на картинки и напиши первую букву в своей тетради.
8,8,Module 5,1 _ orse
9,8,Module 5,2 _ at
10,8,Module 5,3 _ nt
11,8,Module 5,4 _ gg
12,8,Module 5,5 _ lass
13,8,Module 5,6 _ lag
14,8,Module 5,7 _ og
15,8,Module 5,8 _ ed
16,9,Module 5,"1 Слушай и повторяй за диктором.
i ink
j jug
k kangaroo
l lamp
m mouse
n nest
o orange
p pin
q queen"
17,9,Module 5,2 Спой песенку.
18,10,Module 5,3 Посмотри на картинку и прочти нужное слово.
19,10,Module 5,"Напиши его в своей тетради.

1
a queen
b pin

2
a dog
b kangaroo

3
a ant
b ink

4
a mouse
b horse

5
a jug
b orange

6
a lamp
b flag

7
a ant
b nest

8
a glass
b jug

9
a bed
b lamp"
20,11,Module 5,"1 Слушай и повторяй за диктором.

r rabbit
s snake
t tree

u umbrella
v vest

w window
x box

y yacht
z zip"
21,11,Module 5,2 Спой песенку.
22,12,Module 5,"3 Перепиши слова в тетрадь, вставляя пропущенные буквы.
1
w _ _ d _ w
2
_ e _ t
3
_ m _ _ e _ la
4
b _ x
5
_ _ p
6
s _ _ k _
7
t _ _ e
8
_ a _ h _
9
_ _ b _ _ t"
23,12,Module 5,"4 Прочитай слова и выбери правильный ответ.
1
a horse
b snake
c kangaroo
2
a box
b yacht
c jug
3
a mouse
b dog
c rabbit
4
a glass
b vest
c nest"
24,13,Module 5,"1 Слушай и повторяй за диктором.

sh sheep fish ship"
25,13,Module 5,"2 Перепиши слова в тетрадь,
вставляя пропущенные буквы."
26,13,Module 5,1 s _ a __
27,13,Module 5,2 __ rs _
28,13,Module 5,3 e __
29,13,Module 5,4 __ __ n
30,13,Module 5,"5 ____

12"
31,14,Module 5,"3 Слушай и повторяй за диктором.
ch
chick
cheese"
32,14,Module 5,"4 Какие картинки лишние?
ch
sh"
33,15,Module 5,"1 Слушай и повторяй за диктором.

th

the, this

thumb

thimble"
34,15,Module 5,"2 Составь слова и напиши их в тетради.

1

t b h m u

2

t e i l h m b"
35,16,Module 5,"3 Слушай и повторяй за диктором.

ph

photo dolphin elephant"
36,16,Module 5,"4 f или ph? Перепиши слова в тетрадь, вставляя пропущенные буквы."
37,16,Module 5,1 fish
38,16,Module 5,2 dol _ _ in
39,16,Module 5,3 _ lag
40,16,Module 5,4 ele _ _ ant
41,17,Module 5,"1 Слушай и повторяй за диктором.

A a
B b
C c
D d
E e
F f
G g
H h
I i
J j
K k
L l
M m
N n
O o
P p
Q q
R r
S s
T t
U u
V v
W w
X x
Y y
Z z"
42,18,Module 5,"2 Подбери нужные слова к картинкам и перепиши их в тетрадь.

cat
lamp
horse
pin
jug
rabbit
orange
window"
43,18,Module 5,1 cat CAT
44,18,Module 5,2 horse HORSE
45,18,Module 5,3 jug JUG
46,18,Module 5,4 lamp LAMP
47,18,Module 5,5 orange ORANGE
48,18,Module 5,6 pin PIN
49,18,Module 5,7 rabbit RABBIT
50,18,Module 5,8 window WINDOW
51,18,Module 5,"3 Спой песенку, сопровождая её движениями.

A B C D E F G H I J K L M,
I can sing the alphabet,
Can you do the same?
I can sing the alphabet,
I've got it in my head!
N O P Q R S T U V W X Y Z!"
