type,label,page,section,count
total_by_label,языковое,,,360
total_by_label,коммуникативное,,,49
page_by_label,языковое,10,,2
page_by_label,языковое,100,,7
page_by_label,языковое,101,,6
page_by_label,языковое,103,,1
page_by_label,коммуникативное,103,,1
page_by_label,языковое,105,,5
page_by_label,коммуникативное,105,,1
page_by_label,языковое,107,,3
page_by_label,языковое,108,,7
page_by_label,языковое,109,,2
page_by_label,языковое,11,,2
page_by_label,коммуникативное,110,,1
page_by_label,языковое,110,,1
page_by_label,языковое,112,,1
page_by_label,языковое,113,,1
page_by_label,коммуникативное,115,,1
page_by_label,языковое,115,,3
page_by_label,языковое,116,,2
page_by_label,языковое,117,,1
page_by_label,языковое,118,,5
page_by_label,языковое,119,,4
page_by_label,языковое,12,,2
page_by_label,языковое,120,,5
page_by_label,коммуникативное,120,,1
page_by_label,языковое,13,,7
page_by_label,языковое,132,,2
page_by_label,языковое,133,,2
page_by_label,языковое,134,,5
page_by_label,языковое,135,,8
page_by_label,языковое,136,,1
page_by_label,коммуникативное,136,,1
page_by_label,языковое,137,,2
page_by_label,языковое,138,,2
page_by_label,языковое,139,,1
page_by_label,языковое,14,,2
page_by_label,языковое,140,,1
page_by_label,языковое,141,,3
page_by_label,языковое,142,,2
page_by_label,языковое,143,,2
page_by_label,языковое,144,,3
page_by_label,языковое,145,,3
page_by_label,языковое,149,,8
page_by_label,коммуникативное,149,,2
page_by_label,языковое,15,,2
page_by_label,языковое,16,,6
page_by_label,языковое,17,,1
page_by_label,языковое,18,,10
page_by_label,языковое,19,,1
page_by_label,коммуникативное,19,,1
page_by_label,языковое,21,,4
page_by_label,языковое,22,,1
page_by_label,языковое,23,,1
page_by_label,коммуникативное,23,,1
page_by_label,языковое,24,,4
page_by_label,языковое,25,,7
page_by_label,языковое,27,,2
page_by_label,коммуникативное,27,,1
page_by_label,языковое,28,,4
page_by_label,коммуникативное,28,,2
page_by_label,коммуникативное,29,,1
page_by_label,языковое,29,,3
page_by_label,языковое,31,,1
page_by_label,коммуникативное,31,,1
page_by_label,языковое,33,,4
page_by_label,коммуникативное,34,,1
page_by_label,языковое,34,,1
page_by_label,языковое,35,,4
page_by_label,языковое,36,,6
page_by_label,коммуникативное,37,,1
page_by_label,языковое,37,,3
page_by_label,коммуникативное,38,,1
page_by_label,языковое,38,,1
page_by_label,коммуникативное,39,,1
page_by_label,языковое,39,,1
page_by_label,языковое,40,,2
page_by_label,языковое,41,,1
page_by_label,коммуникативное,43,,1
page_by_label,языковое,44,,6
page_by_label,языковое,45,,3
page_by_label,коммуникативное,45,,1
page_by_label,языковое,46,,5
page_by_label,коммуникативное,46,,1
page_by_label,языковое,47,,1
page_by_label,коммуникативное,47,,1
page_by_label,языковое,49,,2
page_by_label,коммуникативное,49,,1
page_by_label,языковое,5,,1
page_by_label,коммуникативное,5,,1
page_by_label,языковое,51,,5
page_by_label,коммуникативное,51,,1
page_by_label,языковое,53,,2
page_by_label,языковое,54,,5
page_by_label,коммуникативное,55,,1
page_by_label,языковое,55,,2
page_by_label,коммуникативное,56,,1
page_by_label,языковое,56,,1
page_by_label,коммуникативное,57,,1
page_by_label,языковое,57,,1
page_by_label,языковое,58,,1
page_by_label,языковое,59,,1
page_by_label,коммуникативное,6,,2
page_by_label,коммуникативное,61,,2
page_by_label,языковое,61,,1
page_by_label,языковое,62,,14
page_by_label,языковое,63,,1
page_by_label,коммуникативное,63,,1
page_by_label,языковое,64,,8
page_by_label,языковое,65,,8
page_by_label,коммуникативное,65,,1
page_by_label,языковое,67,,2
page_by_label,коммуникативное,67,,1
page_by_label,языковое,69,,5
page_by_label,коммуникативное,69,,1
page_by_label,языковое,7,,2
page_by_label,языковое,71,,3
page_by_label,языковое,72,,5
page_by_label,коммуникативное,72,,1
page_by_label,коммуникативное,73,,1
page_by_label,языковое,73,,3
page_by_label,коммуникативное,74,,1
page_by_label,языковое,74,,5
page_by_label,коммуникативное,75,,1
page_by_label,языковое,75,,1
page_by_label,языковое,76,,2
page_by_label,языковое,77,,4
page_by_label,коммуникативное,79,,1
page_by_label,языковое,79,,1
page_by_label,языковое,8,,9
page_by_label,языковое,80,,11
page_by_label,языковое,81,,2
page_by_label,коммуникативное,81,,1
page_by_label,языковое,82,,8
page_by_label,коммуникативное,82,,1
page_by_label,языковое,83,,6
page_by_label,языковое,85,,2
page_by_label,коммуникативное,85,,1
page_by_label,языковое,86,,1
page_by_label,языковое,87,,8
page_by_label,языковое,88,,2
page_by_label,языковое,89,,4
page_by_label,языковое,9,,2
page_by_label,языковое,90,,8
page_by_label,коммуникативное,91,,1
page_by_label,языковое,91,,2
page_by_label,коммуникативное,92,,1
page_by_label,языковое,92,,1
page_by_label,языковое,95,,1
page_by_label,коммуникативное,97,,1
page_by_label,языковое,97,,1
page_by_label,языковое,98,,6
page_by_label,языковое,99,,1
page_by_label,коммуникативное,99,,1
section_by_label,языковое,,Module 5,147
section_by_label,коммуникативное,,Module 5,13
section_by_label,языковое,,Module 1,38
section_by_label,коммуникативное,,Module 1,8
section_by_label,языковое,,Module 2,53
section_by_label,коммуникативное,,Module 2,10
section_by_label,языковое,,Module 3,61
section_by_label,коммуникативное,,Module 3,10
section_by_label,языковое,,Module 4,53
section_by_label,коммуникативное,,Module 4,6
section_by_label,языковое,,Unit 15,8
section_by_label,коммуникативное,,Unit 15,2
